utterance,intent,intent1
staff interest promotion longer 1,iprivileges.dbs_staff_promotion,105
status learning score captured,training.my_elearning_score_was_not_captured_in_dbs_learning_hub,479
status comp review show manually advanced mean,compensation.status_of_compensation_review_plan,11
system allow submit proposal compensation review,compensation.unable_to_submit_my_comp_review_proposals,12
system hang time try learning,training.cannot_launch_e-learning,451
team program already started join halfway,ihealth.can_i_join_the_team_program_midway,77
team program started yesterday still join colleague team,ihealth.can_i_join_the_team_program_midway,77
training via learning video cannot start,training.cannot_launch_e-learning,451
video health app available forever,ihealth.can_i_save_the_checkpoint_videos_to_watch_later,78
voucher redeemed using it credit subject tax,itq_and_wetq.awarded_itq_points_and_tax,125
yer evaluation period happens block leave period,performance_and_development.cannot_submit_year-end_review_by_deadline,338
lot learning learning hub class,training.training_suggestion,488
change personal profile amend,people_hub.update_personal_info_in_people_hub,328
change ki update year end doc,performance_and_development.how_to_start_my_pd_year-end_review,362
technical issue one training room contact number call ask help,training.dbs_academy_rooms,455
change manager please help update,staff_info_update.change_in_reporting_manager,409
ph block leave period,leave.what_can_be_considered_as_block_leave,153
change home address update hr record,staff_info_update.update_contact_info_and_address,418
copy 15 salary,medical.why_is_there_a_medical_-_related_deduction_in_my_pay_slip,192
copy 5 salary,medical.why_is_there_a_medical_-_related_deduction_in_my_pay_slip,192
deduction service remuneration payslip may know,payroll.what_is_service_remuneration_deduction,277
deduction cdnc salary,payroll.what_is_the_cdac_sinda_mbmf_ecf_deduction_in_my_payslip_for,278
deduction ecf salary,payroll.what_is_the_cdac_sinda_mbmf_ecf_deduction_in_my_payslip_for,278
deduction mmf salary,payroll.what_is_the_cdac_sinda_mbmf_ecf_deduction_in_my_payslip_for,278
deduction kinda salary,payroll.what_is_the_cdac_sinda_mbmf_ecf_deduction_in_my_payslip_for,278
new role available keen volunteer,future_of_work.how_will_the_bank_support_me_in_my_new_role,37
public holiday 14 nov 2020 fall saturday deadline clear day given lieu public holiday,leave.how_do_i_claim_my_public_holiday_off-in-lieu,147
option select or template month,performance_and_development.cannot_select_on-going_review_template,337
place input clinic name hence cant continue,medical.i_cannot_find_the_clinic_name_from_the_dropdown_list_,172
year end compensation doc peoplehub index archive,compensation.cannot_view_year-end_comp_review,1
email bonus letter retrieve system,compensation.how_to_view_my_compensation_eletter,9
there change home address update hr record,staff_info_update.update_contact_info_and_address,418
there change marital status get reflected people hub,people_hub.how_to_add_spouses_details_in_people_hub,294
there change nationality,staff_info_update.how_can_i_update_my_singapore_citizenship_status,412
there change passport,staff_info_update.update_passport_number,420
there change personal info,staff_info_update.personal_info_update,417
there change residential address update hr record,staff_info_update.update_contact_info_and_address,418
there change address,staff_info_update.update_contact_info_and_address,418
there change dependent info inform hr,staff_info_update.update_dependant_info,419
there discrepancy flex entitlement pls update end,iflex.iflex_issues,73
there type name mediaccess pls rectify,medical.discrepancy_with_staff_or_dependant_info_in_medical_portal,162
there typo child detail,staff_info_update.discrepancy_in_employees_dependants_personal_info,410
there typo wife name,staff_info_update.discrepancy_in_employees_dependants_personal_info,410
there error child detail mediaccess,medical.discrepancy_with_staff_or_dependant_info_in_medical_portal,162
there error child detail medical system,medical.discrepancy_with_staff_or_dependant_info_in_medical_portal,162
thinking request postpone guest program,talent_management.how_should_i_withdraw_my_interest_to_be_my_guest,442
academy room level,training.dbs_academy_rooms,455
staff moved another team different dept pdr still tagged,performance_and_development.manager_evaluation_for_new_hire_and_transfer_case,367
staff longer reporting u meta performance development review doc new manager,performance_and_development.manager_evaluation_for_new_hire_and_transfer_case,367
year flex claim next year,iflex.deadline_for_iflex_claim_submission,65
three tenet,compensation.what_is_dbs_rewards_philosophy,14
tier ranking,ihealth.how_do_rewards_tiers_work,82
time,leave.can_i_take_leave,140
time sheet medical appointment,medical.medical_certificate,176
time family,general_benefits.eat_with_your_family,46
timeframe complete mandatory learning,training.how_long_do_i_have_to_complete_my_mandatory_learning,467
timeline medical enrolment,medical.how_can_i_enroll_myself___dependants_into_the_medical_scheme,164
timeline staff finish goal development plan,performance_and_development.goal_setting_process,344
timeline complete credit certificate training,training.deadline_to_complete_credit_certification,458
timeline complete pdp,performance_and_development.goal_setting_process,344
timeline release performance rating team,performance_and_development.how_to_complete_manager_yer_evaluation,353
timeshift involving matter cm,cwms.timesheet_and_invoicing_matters_in_cwms,28
tip write feedback,performance_and_development.tips_to_write_constructive_feedback,380
tip meaningful feedback,performance_and_development.tips_to_write_constructive_feedback,380
tip writing meaningful feedback,performance_and_development.tips_to_write_constructive_feedback,380
best digital bank db keep market competitiveness,compensation.how_does_the_bank_achieve_market_competitiveness,4
check eligible share,shares.eligibility_criteria_for_ishares,394
check leave balance,leave.can_i_take_leave,140
promote compulsory complete credit curriculum training,training.credit_certification_and_promotion_requirements,454
remain competitive db benchmark,compensation.how_does_the_bank_achieve_market_competitiveness,4
today 31 december time early release,general_benefits.festive_early_release,47
today first day joining bank,onboarding.onboarding,214
today last day shall return laptop,offboarding.return_of_staff_pass_and_bank_properties,202
tomorrow last day bank pas staff pas,offboarding.return_of_staff_pass_and_bank_properties,202
tooth extraction,medical.can_i_make_dental_claims,159
top team health,ihealth.who_are_the_top_teams_in_our_country,92
total annual leave,people_hub.what_is_my_leave_balance,329
total comp,compensation.components_of_the_compensation_structure,3
total comp statement,compensation.how_to_view_my_compensation_eletter,9
total comp statement team,compensation.how_to_view_my_team_compensation_eletters,10
total compensation statement,compensation.how_to_view_my_compensation_eletter,9
total compensation statement employee,compensation.how_to_view_my_team_compensation_eletters,10
total flex,iflex.can_i_know_what_is_my_iflex_entitlement,62
total leave,leave.can_i_take_leave,140
total leaf,leave.can_i_take_leave,140
track submission status team goal development plan,performance_and_development.how_can_manager_view_status_of_team_goals_and_development_plan,346
traditional chinese practitioner,medical.tcm_generic,182
traditional medical claim,medical.tcm_generic,182
traditional medicine,medical.tcm_generic,182
trainee birthday leave,leave.leave_guidelines,150
trainee leave,leave.leave_guidelines,150
training,training.how_do_i_know_what_programme_dbs_academy_offers,466
training approval,training.course_approval_in_dbs_learning_hub,452
training attended,training.where_can_i_view_my_completed_learning,497
training budget,training.training_escalation,486
training calendar see available credit certificate training,training.how_to_search_for_credit_certification_training,473
training compliance,training.training_hours,487
training course fee reimbursement,training.training_claims,484
training course manager,training.my_manager_would_like_to_attend_this_training_course__can_i_sign_up_on_his_her_behalf_in_dbs_learning_hub,481
training course registration bos,training.my_manager_would_like_to_attend_this_training_course__can_i_sign_up_on_his_her_behalf_in_dbs_learning_hub,481
training course replacement,training.how_can_i_find_a_replacement_for_training,463
training course withdrawal,training.course_withdrawal,453
training course enrolled already closed,training.can_i_still_enrol_for_a_course_if_the_enrolment_has_closed,449
training cutoff date,training.what_is_the_official_cut-off_date_and_time_for_course_registration,495
training enrolment confirmation notice,training.how_do_i_get_the_confirmation_that_my_course_enrolment_is_successful,465
training enrolment cut date,training.what_is_the_official_cut-off_date_and_time_for_course_registration,495
training enrolment denial want go training,training.my_manager_denied_my_enrolment__should_i_re-enrol_again,480
training enrolment status check,training.how_do_i_get_the_confirmation_that_my_course_enrolment_is_successful,465
training expense,training.training_claims,484
training hr,training.training_hours,487
training leave,leave.leave_guidelines,150
training lv,leave.leave_guidelines,150
training plan dept,training.who_is_my_business_learning_partner,499
training portal,training.what_is_dbs_learning_hub,490
training registration approval yet really new date,training.my_manager_denied_my_enrolment__should_i_re-enrol_again,480
training replacement,training.how_can_i_find_a_replacement_for_training,463
training report lm,training.training_hours,487
training roadmap,training.who_is_my_business_learning_partner,499
training suggestion,training.training_suggestion,488
training website,training.what_is_dbs_learning_hub,490
training withdrawal,training.course_withdrawal,453
training class took,training.where_can_i_view_my_completed_learning,497
training course attend,training.where_can_i_view_my_completed_learning,497
transfer ordo contribution db,payroll.transfer_my_previous_employer_orso_contribution_to_dbs_orso_account,264
transfer ordo db,payroll.transfer_my_previous_employer_orso_contribution_to_dbs_orso_account,264
transfer across business,internal_mobility.internal_mobility,97
transfer contribution share,shares.transfer_shares_to_personal_securities_account,405
transfer department,internal_mobility.internal_mobility,97
transfer internally,internal_mobility.internal_mobility,97
transfer course seat another colleague,training.how_can_i_find_a_replacement_for_training,463
transfer notice period newly promoted sup,internal_mobility.required_years_of_service_for_internal_mobility,103
transfer odd share share,shares.transfer_shares_to_personal_securities_account,405
transfer policy,internal_mobility.internal_mobility,97
transfer reporting line,staff_info_update.change_in_reporting_manager,409
transfer another country,internal_mobility.internal_mobility,97
transfer department,internal_mobility.internal_mobility,97
transferring share contribution security ac,shares.transfer_shares_to_personal_securities_account,405
transit within bank,future_of_work.employee_transition_plan,35
transition allowance calculation,shares.how_to_calculate_my_sos_transition_allowance,398
transition allowance calculator,shares.how_to_calculate_my_sos_transition_allowance,398
transition plan colleague moving new role,future_of_work.employee_transition_plan,35
transitional allowance so participant,shares.sos_transition_allowance,404
transport allow,payroll.transport_allowance,265
transport allowance amount,payroll.transport_allowance,265
transport allowance vp,payroll.transport_allowance,265
transport reimbursement,payroll.transport_reimbursement,266
transport reimbursement covid19,payroll.transport_reimbursement,266
travel claim,iflex.what_can_be_claimed_against_iflex,75
try share cdp,shares.transfer_shares_to_personal_securities_account,405
try share security ac,shares.transfer_shares_to_personal_securities_account,405
try share security account,shares.transfer_shares_to_personal_securities_account,405
try security ac,shares.transfer_shares_to_personal_securities_account,405
trick writing good feedback,performance_and_development.tips_to_write_constructive_feedback,380
tried time still unable select going review template,performance_and_development.cannot_select_on-going_review_template,337
trn across geography,internal_mobility.internal_mobility,97
trn contribution share,shares.transfer_shares_to_personal_securities_account,405
trn matching share,shares.transfer_shares_to_personal_securities_account,405
type leave entitlement,leave.can_i_take_leave,140
type program skill for,future_of_work.type_of_upskilling_and_reskilling_programmes_from_bank,40
type skill needed succeed bank,future_of_work.skills_needed_to_continue_building_career_in_dbs,39
type upskilling reskilling programme bank,future_of_work.type_of_upskilling_and_reskilling_programmes_from_bank,40
type staff leave,leave.leave_guidelines,150
type support bank employee transit outside db,future_of_work.employee_transition_plan,35
typo error spouse detail,staff_info_update.discrepancy_in_employees_dependants_personal_info,410
unable access internal mobility page,internal_mobility.internal_mobility_system_escalation,101
unable apply leave system,people_hub.leave_escalation_in_people_hub,325
unable attend academy course,training.course_withdrawal,453
unable attend skillsflex course,training.course_withdrawal,453
unable complete learning,training.cannot_launch_e-learning,451
unable complete training course want attend,training.are_there_charges_for_re-enrolment_for_partial_training_attendance,446
unable fulfil bond esp program,training.gesp_service_period,462
unable indicate bonus amount,compensation.how_to_access_the_year-end_comp_review,8
unable load job opportunity page,internal_mobility.internal_mobility_system_escalation,101
unable load recruiting hub,internal_mobility.internal_mobility_system_escalation,101
unable locate year end comp proposal,compensation.cannot_view_year-end_comp_review,1
unable login internal career portal,internal_mobility.internal_mobility_system_escalation,101
unable logo health,ihealth.cannot_access_ihealth_app,79
unable open flex,iflex.iflex_issues,73
unable see year end review people hub,performance_and_development.what_is_pd_year-end_review,385
unable service full notice period,payroll.how_to_compute_salary-in-lieu_of_notice,238
unable view learning video learning hub portal,training.cannot_launch_e-learning,451
unclear cf refund,payroll.cpf_refund_letter,225
undecided pm leave,people_hub.do_i_need_to_indicate_am_or_pm_for_half_day_leave_application,291
scenario get feedback employee,performance_and_development.getting_feedback_for_performance_review,343
understand need pay 3000 training bond due resignation share go making payment,offboarding.payment_of_training_costs_upon_resignation,199
understand bank providing transition plan employee keen move bank,future_of_work.employee_transition_plan,35
understand bg role impacted due for need skill voluntarily,future_of_work.do_i_need_to_be_upskilled_or_reskilled_or_redeployed,34
understand many employee career disrupted due for,future_of_work.what_roles_are_impacted_due_to_future_of_work,41
understand sale staff pay bank back training fee service period,offboarding.payment_of_training_costs_upon_resignation,199
understand role developed skill prog,future_of_work.type_of_upskilling_and_reskilling_programmes_from_bank,40
understand selfevaluation comment various section or compulsory,performance_and_development.do_i_need_to_include_my_self-evaluation_comments,342
understand several way gain health reward point,ihealth.how_to_earn_rewards_points,84
understand one hour early release eat family,general_benefits.eat_with_your_family,46
understand today deadline submit pdr manager happen cant submit today,performance_and_development.cannot_submit_year-end_review_by_deadline,338
understand new portal goal setting complete goal setting peoplehub,performance_and_development.how_to_add_or_edit_my_goals,350
understand plan help staff staff venturing db,future_of_work.employee_transition_plan,35
unexpected gift must declare,payroll.benefits-in-kind_in_form_ir8e,218
register course,training.course_withdrawal,453
spent outpatient medical credit,medical.outpatient_medical_credit,180
unsure cf refund handling,payroll.cpf_refund_letter,225
unsure sabbatical pay leave,leave.differences_between_no_pay_and_sabbatical_leave,144
taken annual leave,leave.can_i_take_leave,140
unused leave,leave.can_i_take_leave,140
unused outpatient cash,medical.outpatient_medical_credit,180
utilise leave available,leave.can_i_take_leave,140
utilized child marriage leave encased,leave.leave_guidelines,150
utilized leave available,leave.can_i_take_leave,140
utilized training leave lieu lapse,leave.leave_guidelines,150
upcoming birthday staff,people_hub.how_to_view_team_members_birthday_in_people_hub,324
upcoming colleague leave,leave.leaves_of_direct_reports,151
upcoming holiday,leave.list_of_public_holidays,152
upcoming leave entitlement next year,leave.crediting_of_leave_entitlement_for_following_year,142
upcoming leaf,leave.leaves_of_direct_reports,151
upcoming peer leave,leave.leaves_of_direct_reports,151
upcoming peer lv,leave.leaves_of_direct_reports,151
upcoming ph,leave.list_of_public_holidays,152
upcoming team member leave,leave.leaves_of_direct_reports,151
update kk hr record,people_hub.how_to_update_national_id_or_government_id_in_people_hub,318
update skill,performance_and_development.how_do_i_assess_or_update_my_skills,348
update address,staff_info_update.update_contact_info_and_address,418
update address number email,staff_info_update.update_contact_info_and_address,418
update approving manager,staff_info_update.change_in_reporting_manager,409
update bank data,staff_info_update.how_can_i_change_my_salary_crediting_account,411
update cellphone new hr sys,people_hub.how_to_update_contact_info_in_people_hub,312
update cert,staff_info_update.i_wish_to_update_my_diploma_degree_certificate_in_the_system_,415
update certificate,staff_info_update.i_wish_to_update_my_diploma_degree_certificate_in_the_system_,415
update certification work day,people_hub.how_to_update_employee_education_in_people_hub,314
update child birth cert,staff_info_update.update_dependant_info,419
update child detail,staff_info_update.update_dependant_info,419
update childrens info hr record,staff_info_update.update_dependant_info,419
update contact info,staff_info_update.update_contact_info_and_address,418
update dependent,staff_info_update.update_dependant_info,419
update dependent,staff_info_update.update_dependant_info,419
update dependent,staff_info_update.update_dependant_info,419
update display pic new arm,people_hub.how_to_change_my_photo_in_people_hub,299
update education,staff_info_update.i_wish_to_update_my_diploma_degree_certificate_in_the_system_,415
update emergency contact,people_hub.how_to_update_emergency_contact_info_in_people_hub,313
update divorce,staff_info_update.update_dependant_info,419
update gender,people_hub.how_to_update_gender_in_people_hub,316
update goal,performance_and_development.how_to_add_or_edit_my_goals,350
update health profile,ihealth.update_my_profile_in_ihealth_app,89
update hr system singapore citizen,staff_info_update.how_can_i_update_my_singapore_citizenship_status,412
update info new arm sys,people_hub.update_personal_info_in_people_hub,328
update manager,staff_info_update.change_in_reporting_manager,409
update marital status,staff_info_update.update_dependant_info,419
update marriage certificate,staff_info_update.update_dependant_info,419
update marriage detail,staff_info_update.update_dependant_info,419
update mgr evaluation nov,performance_and_development.can_managers_amend_YER_after_deadline,334
update mobile via new arm sys,people_hub.how_to_update_contact_info_in_people_hub,312
update department health,ihealth.update_my_profile_in_ihealth_app,89
update existing outside appointment weekday,people_hub.how_to_submit_outside_appointment_in_people_hub,310
update goal ongoing review template,performance_and_development.how_to_add_or_edit_my_goals,350
update info hr record,people_hub.update_personal_info_in_people_hub,328
update kart keluarga people hub,people_hub.how_to_update_national_id_or_government_id_in_people_hub,318
update ki peoplehub,performance_and_development.how_to_add_or_edit_my_goals,350
update medical insurance,medical.can_i_change_my_medical_insurance_coverage,157
update nationality singapore citizen,staff_info_update.how_can_i_update_my_singapore_citizenship_status,412
update personal info hr portal,people_hub.update_personal_info_in_people_hub,328
update preferred name peoplefinder,staff_info_update.i_have_recently_changed_my_name__how_do_i_update_it,414
update profile health app,ihealth.update_my_profile_in_ihealth_app,89
update profile photo,people_hub.how_to_change_my_photo_in_people_hub,299
update social security number people hub,people_hub.how_to_update_national_id_or_government_id_in_people_hub,318
update spouse,staff_info_update.update_dependant_info,419
update surname health page,ihealth.update_my_profile_in_ihealth_app,89
update work mobile,staff_info_update.update_contact_info_and_address,418
update religion,people_hub.staff_info_update_escalation,326
update office number,staff_info_update.update_contact_info_and_address,418
update outside apps record system,people_hub.how_to_submit_outside_appointment_in_people_hub,310
update people hub permanent resident status,people_hub.how_to_update_singapore_pr_status_in_people_hub,319
update peoplefinder address,people_hub.how_to_update_contact_info_in_people_hub,312
update performance appraisal,performance_and_development.how_to_add_or_edit_my_goals,350
update personal detail dependent,staff_info_update.update_dependant_info,419
update personal health profile detail,ihealth.update_my_profile_in_ihealth_app,89
update personal info,staff_info_update.personal_info_update,417
update personal information dependent,staff_info_update.update_dependant_info,419
update personal particular,staff_info_update.personal_info_update,417
update personal particular weekday,people_hub.update_personal_info_in_people_hub,328
update phone,staff_info_update.update_contact_info_and_address,418
update religion,people_hub.staff_info_update_escalation,326
update religion hr portal,people_hub.staff_info_update_escalation,326
update salary,staff_info_update.how_can_i_change_my_salary_crediting_account,411
update skill,performance_and_development.how_do_i_assess_or_update_my_skills,348
update spouse detail,staff_info_update.update_dependant_info,419
update change foreigner id number,people_hub.how_to_update_fin_in_people_hub,315
update work number,staff_info_update.update_contact_info_and_address,418
update defendant detail,staff_info_update.update_dependant_info,419
update hr,general_benefits.hr_circulars,48
updating dependent,staff_info_update.update_dependant_info,419
updating goal resigned staff,performance_and_development.must_resigned_employee_complete_their_pd,370
updating goal also applicable tendered resignation,performance_and_development.must_resigned_employee_complete_their_pd,370
updating personal particular people hub,people_hub.update_personal_info_in_people_hub,328
upgrade medical plan,medical.can_i_change_my_medical_insurance_coverage,157
upgrading medical benefit,medical.how_can_i_enroll_myself___dependants_into_the_medical_scheme,164
upload certificate leave,leave.can_i_take_leave,140
upload photo,people_hub.how_to_change_my_photo_in_people_hub,299
upload pick,people_hub.how_to_change_my_photo_in_people_hub,299
upload picture,people_hub.how_to_change_my_photo_in_people_hub,299
upon submission resignation able endash carried forward annual leave promoted annual leave mandatory clear leave notice,leave.leave_encashment,149
upskilling program bank,future_of_work.type_of_upskilling_and_reskilling_programmes_from_bank,40
urgent leave,leave.can_i_take_leave,140
use leave offset notice period,offboarding.can_i_offset_my_notice_period,194
user guide leave module,leave.can_i_take_leave,140
user guide manager year end comp review,compensation.how_to_access_the_year-end_comp_review,8
user guide get feedback,performance_and_development.how_to_get_feedback,354
user guide amend official name new hr system,people_hub.how_to_update_legal_name_in_people_hub,317
user guide change permanent residency hr portal,people_hub.how_to_update_singapore_pr_status_in_people_hub,319
user guide complete pdr,performance_and_development.how_to_start_my_pd_year-end_review,362
user guide nominate it,itq_and_wetq.how_to_submit_itq_or_wetq_nomination,130
user guide review wet submission,itq_and_wetq.how_to_approve_wetq_nominations,127
using people hub ass staff next role,hipo_management.what_is_potential_next_role,60
using saga,training.accessing_dbs_learning_hub,444
validity checkpoint video,ihealth.can_i_save_the_checkpoint_videos_to_watch_later,78
variable payment,compensation.components_of_the_compensation_structure,3
variable sale incentive,payroll.variable_sales_incentives,267
vehicle loan application,iprivileges.how_to_apply_for_staff_car_loan,110
vehicle policy,iprivileges.staff_car_loan,117
vendor sourced candidate check decline candidate,cwms.cwf_pre_employment_screening,21
view completed training,training.where_can_i_view_my_completed_learning,497
view attended course,training.where_can_i_view_my_completed_learning,497
view block leaf,people_hub.how_do_i_generate_block_leave_report_in_people_hub,292
view completion status credit certificate training,training.track_status_of_credit_certification_training,483
view dependent,staff_info_update.update_dependant_info,419
view employee date birth,people_hub.how_to_view_team_members_birthday_in_people_hub,324
view employment contract,onboarding.letter_of_appointment,209
view favorite job opening,internal_mobility.how_to_save_jobs_in_dbs_recruiting_hub,95
view favorite job,internal_mobility.how_to_save_jobs_in_dbs_recruiting_hub,95
view favorite job opening,internal_mobility.how_to_save_jobs_in_dbs_recruiting_hub,95
view leave,people_hub.what_is_my_leave_balance,329
view colleague lv,leave.leaves_of_direct_reports,151
view share,shares.crediting_of_contribution_shares,392
view leaf taken,leave.leaves_of_direct_reports,151
view share share,shares.crediting_of_contribution_shares,392
view team compensation letter,compensation.how_to_view_my_team_compensation_eletters,10
view outside apps record,people_hub.how_to_view_outside_appointment_in_people_hub,323
view past nutrition history,ihealth.ihealth_app_features,87
view pay slip,payroll.how_to_generate_my_payslip,240
view previous or,performance_and_development.how_to_retrieve_my_submitted_pd_document,358
view submitted oa record,people_hub.how_to_view_outside_appointment_in_people_hub,323
view submitted pdr,performance_and_development.how_to_retrieve_my_submitted_pd_document,358
view team calendar,leave.leaves_of_direct_reports,151
visit gp claim,medical.how_do_i_go_about_paying_my_medical_bills,166
visit dentist,medical.can_i_make_dental_claims,159
volunteer leave,leave.leave_guidelines,150
volunteering leave,leave.leave_guidelines,150
volunteering leaf,leave.leave_guidelines,150
v bonus pay date,payroll.when_is_our_bonus_credited,282
waive transaction charge saving account,iprivileges.waiver_for_non-salary_crediting_account,123
waiveoff service transaction charge account,iprivileges.waiver_for_non-salary_crediting_account,123
waiver cheque book fee staff,iprivileges.waiver_for_non-salary_crediting_account,123
waiver block leave,leave.i_cannot_take_block_leave_this_year,148
want get learning,training.how_do_i_know_what_programme_dbs_academy_offers,466
want link skill page,performance_and_development.my_skills,371
want apply flex,iflex.how_to_submit_iflex_claim,69
want change profile health app,ihealth.update_my_profile_in_ihealth_app,89
want change salary crediting acc wayback,staff_info_update.how_can_i_change_my_salary_crediting_account,411
want get learning,training.how_do_i_know_what_programme_dbs_academy_offers,466
want know time,leave.leave_guidelines,150
want take new vehicle car lease scheme,payroll.what_is_car_lease_scheme,271
warrior award,ihealth.wellness_warrior_award,90
warrior wellness,ihealth.wellness_warrior_award,90
warrior wellness,ihealth.wellness_warrior_award,90
diagnosed critical illness claim hospital bill,medical.how_do_i_claim_for_group_dread_disease,165
trying submit medical claim realised spouse info mediaccess typo,medical.discrepancy_with_staff_or_dependant_info_in_medical_portal,162
wat goal development plan,performance_and_development.goal_setting_process,344
wat pdp,performance_and_development.goal_setting_process,344
way get health reward pt,ihealth.how_to_earn_rewards_points,84
way get rewarded health,ihealth.how_to_earn_rewards_points,84
way write feedback,performance_and_development.tips_to_write_constructive_feedback,380
tq,itq_and_wetq.recognition_in_dbs,132
thinking joining guest prog posting ad,talent_management.host_a_be_my_guest_opportunity,440
new colleague transferred another dept new 1banked colleague,onboarding.when_will_the_new_hire_1bank_id_be_ready,216
new colleague transferred another dept new 1banked colleague,onboarding.when_will_the_new_hire_1bank_id_be_ready,216
like thank specific team wet sure amount allocate,itq_and_wetq.how_to_assign_the_award_amount_for_wetq_nomination,128
missed goal setting deadline tried add goal seems cannot save system,performance_and_development.staff_cannot_complete_goal-setting_by_deadline,379
q,itq_and_wetq.recognition_in_dbs,132
thank,itq_and_wetq.recognition_in_dbs,132
were got new staff joining u pls advise step getting new laptop,onboarding.arrangements_for_new_hire_prior_to_onboarding,203
wet claim,itq_and_wetq.how_to_redeem_itq_wetq_rewards,129
weekend part block leave,leave.what_can_be_considered_as_block_leave,153
welcome memo,onboarding.arrangements_for_new_hire_prior_to_onboarding,203
wellness warrior,ihealth.wellness_warrior_award,90
wellness warrior award,ihealth.wellness_warrior_award,90
wellness warrior selection criterion,ihealth.wellness_warrior_award,90
wet amount,itq_and_wetq.how_to_assign_the_award_amount_for_wetq_nomination,128
wet award,itq_and_wetq.recognition_in_dbs,132
wet award amount,itq_and_wetq.how_to_assign_the_award_amount_for_wetq_nomination,128
wet awarding amount,itq_and_wetq.how_to_assign_the_award_amount_for_wetq_nomination,128
wet nomination,itq_and_wetq.recognition_in_dbs,132
wet nomination db,itq_and_wetq.recognition_in_dbs,132
wet nomination approval process,itq_and_wetq.how_to_approve_wetq_nominations,127
wet nomination db,itq_and_wetq.recognition_in_dbs,132
wet reward amount,itq_and_wetq.how_to_assign_the_award_amount_for_wetq_nomination,128
wet tier amount,itq_and_wetq.how_to_assign_the_award_amount_for_wetq_nomination,128
fh injury,medical.who_can_i_contact_if_i_injured_myself_at_work,190
life insurance,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
mid yr review,performance_and_development.what_is_on-going_review,384
performance mgm,performance_and_development.performance_and_development,373
detail required pf enrollment process,payroll.know_more_about_pf_enrollment_process,251
learning course took,training.where_can_i_view_my_completed_learning,497
leaf apply,leave.leave_guidelines,150
it point,itq_and_wetq.recognition_in_dbs,132
mandatory training go,training.who_is_required_to_complete_the_mandatory_learning,500
mandatory training,training.who_is_required_to_complete_the_mandatory_learning,500
leave transaction taken year,leave.leaves_of_direct_reports,151
remaining leave balance,leave.can_i_take_leave,140
office hour,escalation.escalation_cases,32
account cannot payroll account,staff_info_update.how_can_i_change_my_salary_crediting_account,411
ambulance service available,medical.what_is_ambulance_services,183
arrangement given part time employee,flexible_work_arrangement.what_is_part_time_policy,33
banking privilege staff,iprivileges.eligibility_for_staff_banking_privileges,107
bank db compare,compensation.how_does_the_bank_achieve_market_competitiveness,4
benefit daycare service,general_benefits.daycare_partners_reimbursement_policy,45
benefit eap,training.what_is_eap,492
benefit employee assistance program,training.what_is_eap,492
benefit opting car lease scheme,payroll.what_is_car_lease_scheme,271
benefit guest,talent_management.what_is_expected_from_guest_in_be_my_guest,443
chance training session,training.training_suggestion,488
change employee banking benefit,iprivileges.eligibility_for_staff_banking_privileges,107
clinic clement,medical.where_can_i_view_the_list_of_panel_clinics,189
compulsory learning hub module kelly contract staff,training.who_is_required_to_complete_the_mandatory_learning,500
compulsory training need completed,training.who_is_required_to_complete_the_mandatory_learning,500
course applicable,training.who_is_my_business_learning_partner,499
criterion eligible internal transfer,internal_mobility.internal_mobility_eligibility_criteria,100
criterion participate guest programme,talent_management.eligibility_for_be_my_guest_program,439
date submit flex claim,iflex.deadline_for_iflex_claim_submission,65
document required pf enrollment,payroll.know_more_about_pf_enrollment_process,251
document required get advance pf loan,payroll.what_is_the_option_of_loan_against_pf,279
document required claiming n award,people_hub.how_to_submit_ns_men_achievement_award_claim,309
early bird price health,ihealth.early_bird_registration_prizes,80
facility academy room,training.dbs_academy_rooms,455
factor deciding salary budget amount,compensation.how_is_salary_increase_budget_determined,6
factor determining bonus pool amount,compensation.how_is_the_group_and_unit_bonus_pool_determined,7
feedback function weekday sys,performance_and_development.anytime_feedback,331
form need complete open cdp account,shares.how_to_open_cdp_account,400
help hr bank offering staff adjust new position,future_of_work.how_will_the_bank_support_me_in_my_new_role,37
health reward given tier,ihealth.how_do_rewards_tiers_work,82
industry db use benchmark market competitive,compensation.how_does_the_bank_achieve_market_competitiveness,4
interest rate staff study loan,iprivileges.staff_study_loan,122
item flammable flex,iflex.what_can_be_claimed_against_iflex,75
bench mobile service,training.what_is_kwench_mobile_library_service,494
leaf applied december 2020,leave.leaves_of_direct_reports,151
level lost impact,hipo_management.what_is_impact_of_loss,59
location dont daycare service available,general_benefits.daycare_partners_reimbursement_policy,45
logo detail cert commercial credit,training.how_to_enrol_for_certificate_of_commercial_credit,472
lucky draw prize,ihealth.how_do_rewards_tiers_work,82
mandatory learning external contractor,training.who_is_required_to_complete_the_mandatory_learning,500
mandatory learning must,training.who_is_required_to_complete_the_mandatory_learning,500
mandatory training,training.who_is_required_to_complete_the_mandatory_learning,500
medical benefit entitled,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
medical benefit card,medical.what_is_an_e-card,184
minimum part time working hour,flexible_work_arrangement.what_is_part_time_policy,33
nomination period submit nomination wellness warrior,ihealth.wellness_warrior_award,90
opportunity host guest,talent_management.host_a_be_my_guest_opportunity,440
option part time employee opt,flexible_work_arrangement.what_is_part_time_policy,33
