,utterance,intent,intent1,pred_idx,pred_values,top_p1,top_p2,top_p3,top_class1,top_class2,top_class3,predictions1,predictions2,predictions3
2504,what be career hub,internal_mobility.developing_my_career_in_dbs,93,93,internal_mobility.developing_my_career_in_dbs,0.5713902711868286,0.013866506516933441,0.013757994398474693,93,98,97,internal_mobility.developing_my_career_in_dbs,internal_mobility.internal_mobility_application_process,internal_mobility.internal_mobility
2505,who be a buddy,people_hub.how_to_view_org_chart_in_people_hub,322,418,staff_info_update.update_dependant_info,0.29615509510040283,0.10066483914852142,0.03266240656375885,418,31,51,staff_info_update.update_dependant_info,employee_referral_programme.one_name_each_guide,general_benefits.who_is_my_hr_rm
2506,new hire,onboarding.onboarding,214,214,onboarding.onboarding,0.5458959341049194,0.12724122405052185,0.014116932637989521,214,203,347,onboarding.onboarding,onboarding.arrangements_for_new_hire_prior_to_onboarding,performance_and_development.how_can_new_hires_complete_their_pd
2507,gift policy among employee,general_benefits.benefits,44,218,payroll.benefits-in-kind_in_form_ir8e,0.21490168571472168,0.019725890830159187,0.0189399104565382,218,109,123,payroll.benefits-in-kind_in_form_ir8e,iprivileges.how_to_apply_for_staff_banking_privileges,iprivileges.waiver_for_non-salary_crediting_account
2508,staff loan policy,iprivileges.staff_loans,119,119,iprivileges.staff_loans,0.3150040805339813,0.16593162715435028,0.061263952404260635,119,120,108,iprivileges.staff_loans,iprivileges.staff_personal_loan,iprivileges.further_assist_loan_for_employees_children
2509,access to nursing room,training.dbs_academy_rooms,454,166,medical.how_do_i_go_about_paying_my_medical_bills,0.2527041733264923,0.156635120511055,0.06632667034864426,166,174,75,medical.how_do_i_go_about_paying_my_medical_bills,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,iflex.what_can_be_claimed_against_iflex
2510,what be balanced distribution of earning,compensation.what_is_balanced_distribution_of_earnings,13,13,compensation.what_is_balanced_distribution_of_earnings,0.4304153621196747,0.030458560213446617,0.017045224085450172,13,261,410,compensation.what_is_balanced_distribution_of_earnings,payroll.relevant_income_under_mpf,staff_info_update.how_can_i_change_my_salary_crediting_account
2511,maximum capacity for academy room,training.dbs_academy_rooms,454,454,training.dbs_academy_rooms,0.8394084572792053,0.0033033753279596567,0.003136945189908147,454,443,50,training.dbs_academy_rooms,training.accessing_dbs_learning_hub,general_benefits.what_is_celeb_club_and_club_membership
2512,what be the contact number for ask hr,general_benefits.who_is_my_hr_rm,51,51,general_benefits.who_is_my_hr_rm,0.9605012536048889,0.002307404298335314,0.0016480874037370086,51,312,48,general_benefits.who_is_my_hr_rm,people_hub.how_to_update_contact_info_in_people_hub,general_benefits.hr_circulars
2513,hi i have two laptop to deco pl advise,onboarding.arrangements_for_new_hire_prior_to_onboarding,203,216,onboarding.when_will_the_new_hire_1bank_id_be_ready,0.1784992665052414,0.047267816960811615,0.043507881462574005,216,51,290,onboarding.when_will_the_new_hire_1bank_id_be_ready,general_benefits.who_is_my_hr_rm,people_hub.dbs_people_hub
2514,can i check staff car loan status,iprivileges.staff_car_loan,117,117,iprivileges.staff_car_loan,0.38333117961883545,0.32662340998649597,0.015524676069617271,117,110,271,iprivileges.staff_car_loan,iprivileges.how_to_apply_for_staff_car_loan,payroll.what_is_car_lease_scheme
2515,block leave requirement,people_hub.how_do_i_generate_block_leave_report_in_people_hub,292,150,leave.leave_guidelines,0.9456408619880676,0.005130363628268242,0.004119891207665205,150,153,140,leave.leave_guidelines,leave.what_can_be_considered_as_block_leave,leave.can_i_take_leave
2516,what be it help desk number,people_hub.how_to_update_national_id_or_government_id_in_people_hub,318,51,general_benefits.who_is_my_hr_rm,0.649556040763855,0.05519769340753555,0.025614596903324127,51,312,417,general_benefits.who_is_my_hr_rm,people_hub.how_to_update_contact_info_in_people_hub,staff_info_update.update_contact_info_and_address
2517,what be the rank in dbs,internal_mobility.internal_mobility_eligibility_criteria,100,212,onboarding.new_hire_profile,0.025527451187372208,0.018667351454496384,0.01667235977947712,212,454,4,onboarding.new_hire_profile,training.dbs_academy_rooms,compensation.how_does_the_bank_achieve_market_competitiveness
2518,employee i share,shares.what_is_ishares,406,398,shares.how_to_join_ishares,0.09743493050336838,0.07994452863931656,0.04665582254528999,398,406,393,shares.how_to_join_ishares,shares.what_is_ishares,shares.eligibility_criteria_for_ishares
2519,i would like to remove a access group from my system access,onboarding.can_i_change_my_1bank_id,204,216,onboarding.when_will_the_new_hire_1bank_id_be_ready,0.48958510160446167,0.10803405195474625,0.07439371943473816,216,211,204,onboarding.when_will_the_new_hire_1bank_id_be_ready,onboarding.new_hire_1bank_password,onboarding.can_i_change_my_1bank_id
2520,just apply thank for your help,general_benefits.who_is_my_hr_rm,51,130,itq_and_wetq.how_to_submit_itq_or_wetq_nomination,0.3715687394142151,0.12056215852499008,0.03515835478901863,130,132,133,itq_and_wetq.how_to_submit_itq_or_wetq_nomination,itq_and_wetq.recognition_in_dbs,itq_and_wetq.who_can_access_itq_wetq_portal
2521,car park in ah,training.parking_at_dbs_premises,481,481,training.parking_at_dbs_premises,0.31417977809906006,0.027745530009269714,0.01997644267976284,481,417,213,training.parking_at_dbs_premises,staff_info_update.update_contact_info_and_address,onboarding.new_hire_staff_pass
2522,how many day compassionate leave,leave.when_can_i_start_my_compassionate_leave,155,150,leave.leave_guidelines,0.9813380241394043,0.001592267886735499,0.0014630226651206613,150,140,155,leave.leave_guidelines,leave.can_i_take_leave,leave.when_can_i_start_my_compassionate_leave
2523,request for fast payment / receipt deferment,standard_letter_request.can_i_request_dbs_to_generate_a_ns_deferment_letter_for_me,423,423,standard_letter_request.can_i_request_dbs_to_generate_a_ns_deferment_letter_for_me,0.5864577889442444,0.020218877121806145,0.017185896635055542,423,194,238,standard_letter_request.can_i_request_dbs_to_generate_a_ns_deferment_letter_for_me,offboarding.can_i_offset_my_notice_period,payroll.how_to_compute_salary-in-lieu_of_notice
2524,phone transfer,internal_mobility.internal_mobility,97,312,people_hub.how_to_update_contact_info_in_people_hub,0.17222467064857483,0.0945640429854393,0.026843411847949028,312,98,31,people_hub.how_to_update_contact_info_in_people_hub,internal_mobility.internal_mobility_application_process,employee_referral_programme.one_name_each_guide
2525,application inventory,internal_mobility.internal_mobility_application_process,98,98,internal_mobility.internal_mobility_application_process,0.20866155624389648,0.2025427371263504,0.08037521690130234,98,101,102,internal_mobility.internal_mobility_application_process,internal_mobility.internal_mobility_system_escalation,internal_mobility.job_posting_notification_in_dbs_recruiting_hub
2526,application inventory,internal_mobility.internal_mobility_application_process,98,98,internal_mobility.internal_mobility_application_process,0.20866155624389648,0.2025427371263504,0.08037521690130234,98,101,102,internal_mobility.internal_mobility_application_process,internal_mobility.internal_mobility_system_escalation,internal_mobility.job_posting_notification_in_dbs_recruiting_hub
2527,email address to give for bank loan,iprivileges.staff_loans,119,119,iprivileges.staff_loans,0.18670521676540375,0.09366544336080551,0.0900120809674263,119,112,111,iprivileges.staff_loans,iprivileges.how_to_apply_for_staff_renovation_loan,iprivileges.how_to_apply_for_staff_personal_loan
2528,salary slip,payroll.how_to_generate_my_payslip,240,240,payroll.how_to_generate_my_payslip,0.9599025845527649,0.004047577269375324,0.001848210347816348,240,283,320,payroll.how_to_generate_my_payslip,payroll.when_will_i_get_my_pay,people_hub.how_to_view_my_payslip_in_people_hub
2529,why be team not connect to internet,general_benefits.who_is_my_hr_rm,51,290,people_hub.dbs_people_hub,0.08836843818426132,0.06049910932779312,0.03657655790448189,290,210,51,people_hub.dbs_people_hub,onboarding.login_access_to_taleo,general_benefits.who_is_my_hr_rm
2530,staff pass access,onboarding.new_hire_staff_pass,213,213,onboarding.new_hire_staff_pass,0.9655565023422241,0.002800525864586234,0.002077770885080099,213,184,75,onboarding.new_hire_staff_pass,medical.what_is_an_e-card,iflex.what_can_be_claimed_against_iflex
2531,manager approval to attend training,training.course_approval_in_dbs_learning_hub,451,451,training.course_approval_in_dbs_learning_hub,0.30036208033561707,0.12487415224313736,0.05491018295288086,451,480,449,training.course_approval_in_dbs_learning_hub,training.my_manager_would_like_to_attend_this_training_course__can_i_sign_up_on_his_her_behalf_in_dbs_learning_hub,training.can_managers_enroll_staff_for_courses
2532,income tax calculation,payroll.view_form_ir8a,268,250,payroll.individual_income_tax_reporting,0.4128793179988861,0.1455134004354477,0.090852290391922,250,268,262,payroll.individual_income_tax_reporting,payroll.view_form_ir8a,payroll.tax_clearance_for_spr
2533,deferment,standard_letter_request.can_i_request_dbs_to_generate_a_ns_deferment_letter_for_me,423,423,standard_letter_request.can_i_request_dbs_to_generate_a_ns_deferment_letter_for_me,0.8980093598365784,0.002689366228878498,0.001642326358705759,423,281,138,standard_letter_request.can_i_request_dbs_to_generate_a_ns_deferment_letter_for_me,payroll.when_do_i_get_my_form_16,leave.can_i_apply_leave_during_notice_period
2534,what about myself,training.what_is_dbs_learning_hub,489,174,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,0.12255433946847916,0.028131898492574692,0.01493191346526146,174,150,164,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,leave.leave_guidelines,medical.how_can_i_enroll_myself___dependants_into_the_medical_scheme
2535,how do i opt for waiver of credit card charge,iprivileges.personal_credit_cards_application,116,116,iprivileges.personal_credit_cards_application,0.7245849370956421,0.046856991946697235,0.010762471705675125,116,104,123,iprivileges.personal_credit_cards_application,iprivileges.corporate_credit_card,iprivileges.waiver_for_non-salary_crediting_account
2536,how to scan document to dbs laptop while work at home,payroll.how_to_compute_salary-in-lieu_of_notice,238,208,onboarding.how_to_upload_documents_after_onboarding,0.6883965730667114,0.013211308978497982,0.009843442589044571,208,358,78,onboarding.how_to_upload_documents_after_onboarding,performance_and_development.how_to_retrieve_my_submitted_pd_document,ihealth.can_i_save_the_checkpoint_videos_to_watch_later
2537,be there a form for me to opt for the waiver of credit card charge for dbs credit card,iprivileges.personal_credit_cards_application,116,116,iprivileges.personal_credit_cards_application,0.7875528335571289,0.062236983329057693,0.004350891336798668,116,104,109,iprivileges.personal_credit_cards_application,iprivileges.corporate_credit_card,iprivileges.how_to_apply_for_staff_banking_privileges
2538,referral letter,employee_referral_programme.one_name_each_guide,31,31,employee_referral_programme.one_name_each_guide,0.8182340264320374,0.01631602831184864,0.013814680278301239,31,179,431,employee_referral_programme.one_name_each_guide,medical.must_i_get_referral_from_gp_before_consulting_a_specialist,standard_letter_request.can_i_request_dbs_to_generate_testimonial
2539,recommendation letter,standard_letter_request.can_i_request_dbs_to_generate_testimonial,431,431,standard_letter_request.can_i_request_dbs_to_generate_testimonial,0.22670888900756836,0.05188591405749321,0.02586045302450657,431,425,16,standard_letter_request.can_i_request_dbs_to_generate_testimonial,standard_letter_request.can_i_request_dbs_to_generate_certificate_of_employment_for_me,compensation.when_will_the_compensation_eletter_communication_start
2540,how to access year end comp review,compensation.how_to_access_the_year-end_comp_review,8,8,compensation.how_to_access_the_year-end_comp_review,0.6881685256958008,0.07589225471019745,0.018984368070960045,8,1,12,compensation.how_to_access_the_year-end_comp_review,compensation.cannot_view_year-end_comp_review,compensation.unable_to_submit_my_comp_review_proposals
2541,who be my boss,people_hub.how_to_view_org_chart_in_people_hub,322,51,general_benefits.who_is_my_hr_rm,0.051807597279548645,0.040176715701818466,0.019060613587498665,51,322,437,general_benefits.who_is_my_hr_rm,people_hub.how_to_view_org_chart_in_people_hub,talent_management.be_my_guest
2542,the seep server return an invalid response,offboarding.return_of_staff_pass_and_bank_properties,202,96,internal_mobility.how_to_upload_attachments_in_dbs_recruiting_hub,0.06708682328462601,0.04933786764740944,0.043771956115961075,96,450,208,internal_mobility.how_to_upload_attachments_in_dbs_recruiting_hub,training.cannot_launch_e-learning,onboarding.how_to_upload_documents_after_onboarding
2543,hi my laptop be not work properly can i get a new one,onboarding.arrangements_for_new_hire_prior_to_onboarding,203,216,onboarding.when_will_the_new_hire_1bank_id_be_ready,0.041831787675619125,0.04118293151259422,0.03647373989224434,216,83,436,onboarding.when_will_the_new_hire_1bank_id_be_ready,ihealth.how_to_connect_my_device_to_ihealth_app,standard_letter_request.how_can_i_get_a_replacement_work_pass_ep_ltvp_dependant_pass_s_pass
2544,creative virtual access right,onboarding.onboarding,214,216,onboarding.when_will_the_new_hire_1bank_id_be_ready,0.2615661323070526,0.09143199026584625,0.08972179144620895,216,210,290,onboarding.when_will_the_new_hire_1bank_id_be_ready,onboarding.login_access_to_taleo,people_hub.dbs_people_hub
2545,dbs live fresh card,performance_and_development.what_is_a_balanced_scorecard,382,184,medical.what_is_an_e-card,0.5534513592720032,0.11013729125261307,0.07965842634439468,184,104,213,medical.what_is_an_e-card,iprivileges.corporate_credit_card,onboarding.new_hire_staff_pass
2546,en cash annual leave formula,leave.leave_encashment,149,149,leave.leave_encashment,0.8125367164611816,0.07451063394546509,0.027754519134759903,149,329,139,leave.leave_encashment,people_hub.what_is_my_leave_balance,leave.can_i_carry_forward_my_leave
2547,en cash annual leave calculation,leave.leave_encashment,149,149,leave.leave_encashment,0.8968695402145386,0.035943493247032166,0.010442023165524006,149,329,139,leave.leave_encashment,people_hub.what_is_my_leave_balance,leave.can_i_carry_forward_my_leave
2548,resignation annual leave arrangement,leave.leave_encashment,149,140,leave.can_i_take_leave,0.38361015915870667,0.3304104804992676,0.158673956990242,140,329,149,leave.can_i_take_leave,people_hub.what_is_my_leave_balance,leave.leave_encashment
2549,mother care room,training.dbs_academy_rooms,454,75,iflex.what_can_be_claimed_against_iflex,0.10260649770498276,0.09222997725009918,0.030430929735302925,75,454,150,iflex.what_can_be_claimed_against_iflex,training.dbs_academy_rooms,leave.leave_guidelines
2550,taxis,payroll.benefits-in-kind_in_form_ir8e,218,266,payroll.transport_reimbursement,0.8042675852775574,0.009191052056849003,0.0038676310796290636,266,183,240,payroll.transport_reimbursement,medical.what_is_ambulance_services,payroll.how_to_generate_my_payslip
2551,housing loan for staff,iprivileges.staff_home_loan,118,118,iprivileges.staff_home_loan,0.9189131855964661,0.004066493362188339,0.002485111355781555,118,271,117,iprivileges.staff_home_loan,payroll.what_is_car_lease_scheme,iprivileges.staff_car_loan
2552,date of birth,people_hub.how_to_view_team_members_birthday_in_people_hub,324,324,people_hub.how_to_view_team_members_birthday_in_people_hub,0.6103353500366211,0.040131956338882446,0.02607649937272072,324,151,418,people_hub.how_to_view_team_members_birthday_in_people_hub,leave.leaves_of_direct_reports,staff_info_update.update_dependant_info
2553,designation chart in dbs,people_hub.how_to_view_org_chart_in_people_hub,322,322,people_hub.how_to_view_org_chart_in_people_hub,0.1114385575056076,0.03566565364599228,0.031056733801960945,322,310,413,people_hub.how_to_view_org_chart_in_people_hub,people_hub.how_to_submit_outside_appointment_in_people_hub,staff_info_update.i_have_recently_changed_my_name__how_do_i_update_it
2554,change the plan for torso,payroll.can_i_change_my_orso_voluntary_contribution_rate,221,418,staff_info_update.update_dependant_info,0.06982108950614929,0.0661991536617279,0.0478786937892437,418,299,157,staff_info_update.update_dependant_info,people_hub.how_to_change_my_photo_in_people_hub,medical.can_i_change_my_medical_insurance_coverage
2555,how resubmit reject invest proof,payroll.how_to_submit_my_investment_proofs,242,242,payroll.how_to_submit_my_investment_proofs,0.7220298647880554,0.06112346798181534,0.0071558402851223946,242,241,398,payroll.how_to_submit_my_investment_proofs,payroll.how_to_submit_my_investment_declaration,shares.how_to_join_ishares
2556,early release on cony eve,general_benefits.festive_early_release,47,47,general_benefits.festive_early_release,0.9271559715270996,0.008433430455625057,0.004629150498658419,47,152,229,general_benefits.festive_early_release,leave.list_of_public_holidays,payroll.festive_early_pay
2557,employee activity claim,training.training_claims,483,75,iflex.what_can_be_claimed_against_iflex,0.070388562977314,0.031336285173892975,0.031189674511551857,75,415,69,iflex.what_can_be_claimed_against_iflex,staff_info_update.outside_appointment,iflex.how_to_submit_iflex_claim
2558,employee event claim,training.training_claims,483,75,iflex.what_can_be_claimed_against_iflex,0.14154481887817383,0.0466805100440979,0.022171664983034134,75,69,73,iflex.what_can_be_claimed_against_iflex,iflex.how_to_submit_iflex_claim,iflex.iflex_issues
2559,resubmit investment declaration proofs,payroll.how_to_submit_my_investment_declaration,241,241,payroll.how_to_submit_my_investment_declaration,0.6574954986572266,0.24744439125061035,0.00222293590195477,241,242,236,payroll.how_to_submit_my_investment_declaration,payroll.how_to_submit_my_investment_proofs,payroll.how_to_change_my_mpf_investment_fund_choices
2560,how to withdraw my share,shares.can_i_stop_or_change_my_ishares_contribution,390,390,shares.can_i_stop_or_change_my_ishares_contribution,0.1600605547428131,0.1546180099248886,0.11542844027280807,390,391,404,shares.can_i_stop_or_change_my_ishares_contribution,shares.crediting_of_contribution_shares,shares.transfer_shares_to_personal_securities_account
2561,did t i just tell you my problem,itq_and_wetq.who_can_access_itq_wetq_portal,133,491,training.what_is_eap,0.029261702671647072,0.02217678353190422,0.016432277858257294,491,372,16,training.what_is_eap,performance_and_development.notification_on_da_or_reminder_on_conduct_for_yer,compensation.when_will_the_compensation_eletter_communication_start
2562,how do i give teams access to my photo,people_hub.how_to_change_my_photo_in_people_hub,299,299,people_hub.how_to_change_my_photo_in_people_hub,0.675905168056488,0.08832046389579773,0.005390792153775692,299,213,436,people_hub.how_to_change_my_photo_in_people_hub,onboarding.new_hire_staff_pass,standard_letter_request.how_can_i_get_a_replacement_work_pass_ep_ltvp_dependant_pass_s_pass
2563,how do i give team access to my photo album on my phone,people_hub.how_to_change_my_photo_in_people_hub,299,299,people_hub.how_to_change_my_photo_in_people_hub,0.34412604570388794,0.19815196096897125,0.029641197994351387,299,213,75,people_hub.how_to_change_my_photo_in_people_hub,onboarding.new_hire_staff_pass,iflex.what_can_be_claimed_against_iflex
2564,transfer of phone,internal_mobility.internal_mobility,97,312,people_hub.how_to_update_contact_info_in_people_hub,0.3976222574710846,0.05132288858294487,0.04454807937145233,312,51,417,people_hub.how_to_update_contact_info_in_people_hub,general_benefits.who_is_my_hr_rm,staff_info_update.update_contact_info_and_address
2565,hr circular,general_benefits.hr_circulars,48,48,general_benefits.hr_circulars,0.38723433017730713,0.038786355406045914,0.019858654588460922,48,51,322,general_benefits.hr_circulars,general_benefits.who_is_my_hr_rm,people_hub.how_to_view_org_chart_in_people_hub
2566,public holiday,leave.list_of_public_holidays,152,152,leave.list_of_public_holidays,0.9268340468406677,0.018188057467341423,0.00788315013051033,152,147,47,leave.list_of_public_holidays,leave.how_do_i_claim_my_public_holiday_off-in-lieu,general_benefits.festive_early_release
2567,bonus for employee serve notice period,offboarding.how_to_determine_last_day_of_service,196,196,offboarding.how_to_determine_last_day_of_service,0.5244371294975281,0.1570242941379547,0.04063168913125992,196,194,238,offboarding.how_to_determine_last_day_of_service,offboarding.can_i_offset_my_notice_period,payroll.how_to_compute_salary-in-lieu_of_notice
2568,yearly bonus,payroll.when_is_our_bonus_credited,282,282,payroll.when_is_our_bonus_credited,0.565565824508667,0.07849131524562836,0.0097997160628438,282,274,32,payroll.when_is_our_bonus_credited,payroll.what_is_my_bonus_pay_out_computation,escalation.escalation_cases
2569,traditional chinese medicine claim,medical.tcm_generic,182,171,medical.how_to_submit_medical_claim,0.7789206504821777,0.011706562712788582,0.010165776126086712,171,177,156,medical.how_to_submit_medical_claim,medical.medical_claim_status,medical.are_overseas_medical_claims_accepted
2570,apple block leave,people_hub.how_do_i_generate_block_leave_report_in_people_hub,292,150,leave.leave_guidelines,0.9760284423828125,0.0066355932503938675,0.0009994790889322758,150,140,146,leave.leave_guidelines,leave.can_i_take_leave,leave.does_maternity___paternity_leave_include_weekend___non-working_days___ph
2571,apple leave on jan,leave.crediting_of_leave_entitlement_for_following_year,142,140,leave.can_i_take_leave,0.7685391306877136,0.05531745404005051,0.047152865678071976,140,329,150,leave.can_i_take_leave,people_hub.what_is_my_leave_balance,leave.leave_guidelines
2572,how to join cybernetic challenge,onboarding.onboarding,214,86,ihealth.how_to_join_a_team_program,0.05186000466346741,0.04757457599043846,0.04235050082206726,86,55,454,ihealth.how_to_join_a_team_program,hipo_management.objectives_of_dbs_high_potential_hipo_programme,training.dbs_academy_rooms
2573,ignore that,people_hub.how_to_view_org_chart_in_people_hub,322,493,training.what_is_kwench_mobile_library_service,0.022627852857112885,0.01776283234357834,0.01757616549730301,493,311,372,training.what_is_kwench_mobile_library_service,people_hub.how_to_submit_resignation_in_people_hub,performance_and_development.notification_on_da_or_reminder_on_conduct_for_yer
2574,set performance goal,performance_and_development.goal_setting_process,344,344,performance_and_development.goal_setting_process,0.4770791530609131,0.30298009514808655,0.038742173463106155,344,350,381,performance_and_development.goal_setting_process,performance_and_development.how_to_add_or_edit_my_goals,performance_and_development.what_constitutes_a_good_goal
2575,can not access elodea,onboarding.letter_of_appointment,209,204,onboarding.can_i_change_my_1bank_id,0.07394316792488098,0.042786046862602234,0.038314253091812134,204,210,450,onboarding.can_i_change_my_1bank_id,onboarding.login_access_to_taleo,training.cannot_launch_e-learning
2576,appointment order,general_benefits.who_is_my_hr_rm,51,300,people_hub.how_to_check_my_joined_date_in_people_hub,0.06746598333120346,0.06141292676329613,0.0555691123008728,300,304,24,people_hub.how_to_check_my_joined_date_in_people_hub,people_hub.how_to_create_job_requisition_in_people_hub,cwms.cwms_new_request
2577,how do i view my contract,onboarding.letter_of_appointment,209,209,onboarding.letter_of_appointment,0.620346188545227,0.05237007141113281,0.017780624330043793,209,425,96,onboarding.letter_of_appointment,standard_letter_request.can_i_request_dbs_to_generate_certificate_of_employment_for_me,internal_mobility.how_to_upload_attachments_in_dbs_recruiting_hub
2578,establish relationship,general_benefits.who_is_my_hr_rm,51,31,employee_referral_programme.one_name_each_guide,0.28691330552101135,0.03691815957427025,0.023168567568063736,31,51,312,employee_referral_programme.one_name_each_guide,general_benefits.who_is_my_hr_rm,people_hub.how_to_update_contact_info_in_people_hub
2579,need to talk to someone,general_benefits.who_is_my_hr_rm,51,51,general_benefits.who_is_my_hr_rm,0.7407144904136658,0.025980554521083832,0.024525819346308708,51,312,31,general_benefits.who_is_my_hr_rm,people_hub.how_to_update_contact_info_in_people_hub,employee_referral_programme.one_name_each_guide
2580,leave day for parent with kid at year old,leave.crediting_of_leave_entitlement_for_following_year,142,150,leave.leave_guidelines,0.9738976359367371,0.0015148604288697243,0.0011340177152305841,150,155,140,leave.leave_guidelines,leave.when_can_i_start_my_compassionate_leave,leave.can_i_take_leave
2581,dbs access management,onboarding.login_access_to_taleo,210,213,onboarding.new_hire_staff_pass,0.8674392700195312,0.036523811519145966,0.010586278513073921,213,216,184,onboarding.new_hire_staff_pass,onboarding.when_will_the_new_hire_1bank_id_be_ready,medical.what_is_an_e-card
2582,salary advance,payroll.festive_early_pay,229,229,payroll.festive_early_pay,0.8513509035110474,0.012406937777996063,0.007078161928802729,229,283,238,payroll.festive_early_pay,payroll.when_will_i_get_my_pay,payroll.how_to_compute_salary-in-lieu_of_notice
2583,off day,leave.list_of_public_holidays,152,150,leave.leave_guidelines,0.9011280536651611,0.05262153595685959,0.004723669495433569,150,140,151,leave.leave_guidelines,leave.can_i_take_leave,leave.leaves_of_direct_reports
2584,day off,leave.list_of_public_holidays,152,140,leave.can_i_take_leave,0.483003169298172,0.30402085185050964,0.04489096254110336,140,150,151,leave.can_i_take_leave,leave.leave_guidelines,leave.leaves_of_direct_reports
2585,how to apply staff credit card,iprivileges.personal_credit_cards_application,116,116,iprivileges.personal_credit_cards_application,0.8245763182640076,0.06535036861896515,0.002493669046089053,116,104,109,iprivileges.personal_credit_cards_application,iprivileges.corporate_credit_card,iprivileges.how_to_apply_for_staff_banking_privileges
2586,encase carry forward leave,leave.leave_encashment,149,139,leave.can_i_carry_forward_my_leave,0.9380637407302856,0.010863428004086018,0.005741860717535019,139,329,149,leave.can_i_carry_forward_my_leave,people_hub.what_is_my_leave_balance,leave.leave_encashment
2587,issue with investment submission,payroll.how_to_submit_my_investment_proofs,242,242,payroll.how_to_submit_my_investment_proofs,0.7021080255508423,0.11498197168111801,0.00405616732314229,242,241,236,payroll.how_to_submit_my_investment_proofs,payroll.how_to_submit_my_investment_declaration,payroll.how_to_change_my_mpf_investment_fund_choices
2588,investment proof submission,payroll.how_to_submit_my_investment_proofs,242,242,payroll.how_to_submit_my_investment_proofs,0.8738983273506165,0.037456829100847244,0.002237113192677498,242,241,410,payroll.how_to_submit_my_investment_proofs,payroll.how_to_submit_my_investment_declaration,staff_info_update.how_can_i_change_my_salary_crediting_account
2589,apply for share point,shares.how_to_join_ishares,398,398,shares.how_to_join_ishares,0.37401023507118225,0.09439105540513992,0.08548206835985184,398,406,393,shares.how_to_join_ishares,shares.what_is_ishares,shares.eligibility_criteria_for_ishares
2590,sec,internal_mobility.internal_mobility,97,207,onboarding.end_of_probation,0.057693637907505035,0.0459875725209713,0.035089850425720215,207,258,62,onboarding.end_of_probation,payroll.overtime_system_approver_is_not_updated,iflex.can_i_know_what_is_my_iflex_entitlement
2591,how to connect my apple watch to i health,people_hub.how_to_view_org_chart_in_people_hub,322,83,ihealth.how_to_connect_my_device_to_ihealth_app,0.8008177876472473,0.03471534699201584,0.013011453673243523,83,75,85,ihealth.how_to_connect_my_device_to_ihealth_app,iflex.what_can_be_claimed_against_iflex,ihealth.how_to_get_started_with_ihealth_mobile_app
2592,pm eileen xi prong wang how to review my teammate leave calendar,people_hub.do_i_need_to_indicate_am_or_pm_for_half_day_leave_application,291,151,leave.leaves_of_direct_reports,0.8286743760108948,0.04335523396730423,0.013839402236044407,151,296,303,leave.leaves_of_direct_reports,people_hub.how_to_approve_leave_in_people_hub,people_hub.how_to_correct_or_cancel_my_leave_in_people_hub
2593,what can you do v,onboarding.onboarding,214,130,itq_and_wetq.how_to_submit_itq_or_wetq_nomination,0.022722072899341583,0.022652223706245422,0.020057497546076775,130,270,69,itq_and_wetq.how_to_submit_itq_or_wetq_nomination,payroll.vpf_contribution,iflex.how_to_submit_iflex_claim
2594,variable pay,compensation.components_of_the_compensation_structure,3,240,payroll.how_to_generate_my_payslip,0.30698058009147644,0.09258344769477844,0.08011188358068466,240,6,283,payroll.how_to_generate_my_payslip,compensation.how_is_salary_increase_budget_determined,payroll.when_will_i_get_my_pay
2595,banyan tree,people_hub.how_to_view_org_chart_in_people_hub,322,152,leave.list_of_public_holidays,0.047714050859212875,0.042220380157232285,0.0341491736471653,152,47,147,leave.list_of_public_holidays,general_benefits.festive_early_release,leave.how_do_i_claim_my_public_holiday_off-in-lieu
2596,workday instruction,onboarding.arrangements_for_new_hire_prior_to_onboarding,203,499,training.who_is_required_to_complete_the_mandatory_learning,0.3585909903049469,0.08196616917848587,0.05884142220020294,499,487,488,training.who_is_required_to_complete_the_mandatory_learning,training.training_suggestion,training.what_is_a_mandatory_learning
2597,staff pass resigner,offboarding.return_of_staff_pass_and_bank_properties,202,213,onboarding.new_hire_staff_pass,0.7999444007873535,0.03151557594537735,0.011112330481410027,213,202,436,onboarding.new_hire_staff_pass,offboarding.return_of_staff_pass_and_bank_properties,standard_letter_request.how_can_i_get_a_replacement_work_pass_ep_ltvp_dependant_pass_s_pass
2598,building pass,onboarding.new_hire_staff_pass,213,213,onboarding.new_hire_staff_pass,0.9497572183609009,0.0027031961362808943,0.0023629511706531048,213,75,436,onboarding.new_hire_staff_pass,iflex.what_can_be_claimed_against_iflex,standard_letter_request.how_can_i_get_a_replacement_work_pass_ep_ltvp_dependant_pass_s_pass
2599,academy room,training.dbs_academy_rooms,454,454,training.dbs_academy_rooms,0.8652707934379578,0.002571054035797715,0.002388755092397332,454,205,443,training.dbs_academy_rooms,onboarding.dress_code,training.accessing_dbs_learning_hub
2600,privilege,general_benefits.benefits,44,44,general_benefits.benefits,0.111256904900074,0.021187542006373405,0.014615635387599468,44,104,116,general_benefits.benefits,iprivileges.corporate_credit_card,iprivileges.personal_credit_cards_application
